Název programu;Název oboru;Jazyk výuky;Alias
Filologie;Francouzský jazyk (jednooborové);Česky;['Český jazyk a literatura - francouzský jazyk', 'Český jazyk a literatura - Francouzský jazyk', 'Anglický jazyk a literatura - Francouzský jazyk', 'Románská filologie: specializace francouzský a italský jazyk', 'Historie - románská filologie: specializace francouzský jazyk', 'Bohemistika - románská filologie: specializace francouzský jazyk']
Filologie;Italský jazyk (jednooborové);Česky;['Bohemistika - románská filologie: specializace italský jazyk', 'Románská filologie: specializace francouzský a italský jazyk', 'Románská filologie: specializace italský a španělský jazyk']
Filologie;Španělský jazyk (jednooborové);Česky;['Anglický jazyk a literatura - Španělský jazyk', 'Český jazyk a literatura - Španělský jazyk', 'Románská filologie: specializace italský a španělský jazyk']
Historické vědy;Archivnictví;Česky;['Historie - Archivnictví', 'Informatika-Archivnictví', 'Německý jazyk a literatura - archivnictví', 'Historie - archivnictví']
Učitelství pro střední školy;Učitelství českého jazyka a literatury pro střední školy;Česky;['ČJ-L/SŠ', 'ČJ-NJ/SŠ', 'ČJ-D/SŠ']
Učitelství pro střední školy;Učitelství dějepisu pro střední školy;Česky;['D-NJ/SŠ', 'ČJ-D/SŠ']
Filologie;Cizí jazyky pro evropský a mezinárodní obchod - ruský jazyk;Česky;Cizí jazyk pro evropský a mezinárodní obchod-ruský jazyk
Psychologie;Pedagogická psychologie;Česky;TVS2-PS2
Specializace v pedagogice;Anglický jazyk se zaměřením na vzdělávání;Česky;['Fu-AJu', 'AJu-ITu', 'Mu-AJu', 'AJu-ŠJu', 'AJu-Hu', 'ČJu-AJu', 'AJu-HVu', 'AJu-NJu', 'AJu-SVu', 'VKZu-AJu', 'AJu-TVZu', 'AJu-FJu', 'Zu-AJu', 'AJu-Přu', 'TchVu-AJu']
Specializace v pedagogice;Český jazyk a literatura se zaměřením na vzdělávání;Česky;['ČJu-HVu', 'ČJu-SVu', 'ČJu-ŠJu', 'ČJu-AJu', 'TchVu-ČJu', 'ČJu-NJu', 'ČJu-VVu', 'Mu-ČJu', 'Přu-ČJu']
Specializace v pedagogice;Francouzský jazyk se zaměřením na vzdělávání;Česky;AJu-FJu
Specializace v pedagogice;Fyzika se zaměřením na vzdělávání;Česky;['Fu-AJu', 'Fu-ITu', 'Mu-Fu', 'Fu-TchVu', 'Fu-Chu', 'Fu-SVu', 'Fu-Přu']
Specializace v pedagogice;Hra na nástroj nebo zpěv se zaměřením na vzdělávání (jednooborové);Česky;['ZUŠ (HVZ)', 'ZUŠ (HVk)']
Specializace v pedagogice;Hudební výchova se zaměřením na vzdělávání (dvouoborové);Česky;['Hudební výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň základních škol, Základy speciální pedagogiky pro 1. stupeň ZŠ', 'ČJu-HVu', 'HVu-Chu', 'Mu-HVu', 'NJu-HVu', 'AJu-HVu', 'HVu-Přu']
Specializace v pedagogice;Informační technologie se zaměřením na vzdělávání;Česky;['AJu-ITu', 'Fu-ITu', 'TchVu-ITu', 'TchVu-ITu', 'Mu-ITu', 'ŠJu-ITu', 'Přu-ITu']
Specializace v pedagogice;Matematika se zaměřením na vzdělávání;Česky;['Mu-Hu', 'Mu-AJu', 'Mu-Chu', 'Mu-TVZu', 'Mu-Fu', 'Mu-TchVu', 'Mu-VKZu', 'Mu-ITu', 'Mu-HVu', 'Mu-Přu', 'Mu-Zu', 'Mu-ČJu', 'Mu-SVu', 'Mu-TVu', 'Mu-NJu']
Specializace v pedagogice;Matematika se zaměřením na vzdělávání;Česky;['Mu-Hu', 'Mu-AJu', 'Mu-Chu', 'Mu-TVZu', 'Mu-Fu', 'Mu-TchVu', 'Mu-VKZu', 'Mu-ITu', 'Mu-HVu', 'Mu-Přu', 'Mu-Zu', 'Mu-ČJu', 'Mu-SVu', 'Mu-TVu', 'Mu-NJu']
Specializace v pedagogice;Německý jazyk se zaměřením na vzdělávání;Česky;['NJu-VVu', 'NJu-Přu', 'NJu-Zu', 'TchVu-NJu', 'NJu-HVu', 'ČJu-NJu', 'NJu-SVu', 'AJu-NJu', 'NJu-VKZu', 'Mu-NJu']
Specializace v pedagogice;Přírodopis se zaměřením na vzdělávání;Česky;['NJu-Přu', 'Přu-TVZu', 'Přu-TVu', 'Přu-VVu', 'Mu-Přu', 'HVu-Přu', 'VKZu-Přu', 'Zu-Přu', 'Přu-Chu', 'AJu-Přu', 'Přu-ITu', 'Přu-ČJu', 'Fu-Přu', 'Přu-SVu']
