'code','institution','address','url','library-url'
'hestia','HESTIA','Na Poříčí 1041/12, 110 00 Praha 1','http://www.hest.cz/',
'historicky_ustav','Historický ústav','Prosecká 76, 190 00 Praha 9','http://www.hiu.cas.cz/','http://www.hiu.cas.cz/cs/knihovny/knihovna-praha.ep/'
'hydrobiologicky_ustav','Hydrobiologický ústav','Na Sádkách 7, 370 05 České Budějovice','http://www.hbu.cas.cz',
'institut_umeni','Institut umění – Divadelní ústav','Celetná 17, 110 00 Praha 1','http://www.idu.cz/',
'iuridicum_remedium','Iuridicum Remedium, o.s.','Pplk. Sochora 40, 170 00 Praha 7','http://www.iure.org/',
'jihomoravske_muzeum_ve_znojme','Jihomoravské muzeum ve Znojmě','Přemyslovců 129/8, 669 02 Znojmo','http://www.znojmuz.cz/','https://www.muzeumznojmo.cz/O-muzeu/Knihovna'
'jihoceska_univerzita_v_ceskych_budejovicich','Jihočeská univerzita v Českých Budějovicích','Husova 458, 370 05 České Budějovice','http://www.jcu.cz','http://www.jcu.cz/vskp/'
'ustav_pro_klasicka_studia','Kabinet pro klasická studia Filosofického ústavu AV ČR','Na Florenci 3, 110 00 Praha 1','http://www.ics.cas.cz/','http://www.ics.cas.cz/index.php/cs/knihovna'
'katedra_jazyku','Katedra jazyků',,,
'katedra_socialni_geografie_prf','Katedra sociální geografie a regionálního rozvoje PřF UK','Albertov 6, 128 43 Praha 2','https://www.natur.cuni.cz/geografie/socialni-geografie-a-regionalni-rozvoj',
'knihovna_av_cr','Knihovna AV ČR','Národní 3, 115 22 Praha 1','http://www.lib.cas.cz/',
'literarni_akademie','Literární akademie','Na Pankráci 420/54, 140 00 Praha 4-Nusle','http://www.art-campus.cz/la/','http://www.art-campus.cz/la/o-nas/struktura-skoly/knihovna'
'mapova_sbirka_prf','Mapová sbírka PřF UK','Albertov 6, 128 43 Praha 2','https://www.natur.cuni.cz/geografie/mapova-sbirka/',' '
'masarykova_univerzita','Masarykova univerzita','Žerotínovo nám. 617/9, 601 77 Brno','https://www.muni.cz/',
'masarykuv_ustav_a_archiv','Masarykův ústav + Archiv','Na Florenci 3, Praha 1','http://www.mua.cas.cz','http://www.mua.cas.cz/cs/knihovna-106'
'matematicky_ustav','Matematický ústav','Žitná 25, 115 67 Praha 1','http://www.math.cas.cz','http://library.math.cas.cz/lib-cz.html'
'mendelova_univerzita_v_brne','Mendelova univerzita v Brně','Zemědělská 1/1665, 613 00 Brno','http://mendelu.cz/','http://is.mendelu.cz/zp/'
'mikrobiologicky_ustav','Mikrobiologický ústav','Vídeňská 1083, 142 20 Praha 4','http://www.biomed.cas.cz/mbu/cz/',
'ministerstvo_obrany','Ministerstvo obrany','Tychonova 1, 160 01 Praha 6 - Dejvice','https://www.army.cz/',
'ministerstvo_spravedlnosti','Ministerstvo spravedlnosti','Vyšehradská 16, 128 10 Praha 2','https://portal.justice.cz',
'ministerstvo_zivotniho_prostredi','Ministerstvo životního prostředí','Vršovická 1442/65, 100 10 Praha 10','https://www.mzp.cz/',
'moravska_galerie','Moravská galerie v Brně','Husova 18, 662 26 Brno','http://www.moravska-galerie.cz/',
'moravska_zemska_knihovna','Moravská zemská knihovna','Kounicova 65a, 601 87 Brno ','http://www.mzk.cz/',
'muzeum_brnenska','Muzeum Brněnska','Klášter 1, 664 61 Rajhrad','https://www.muzeumbrnenska.cz','http://muzeum.muzeumbrnenska.cz/36-knihovna-muzea-brnenska.aspx'
'muzeum_vychodnich_cech','Muzeum východních Čech v Hradci Králové','Eliščino nábřeží 465, 500 01 Hradec Králové 1','http://www.muzeumhk.cz',
'nadace_promeny','Nadace Proměny','Vinohradská 1511/230, 100 00 Praha 10','http://www.nadace-promeny.cz/',
'nacr','Národní archiv','Archivní 2257/4, 149 00 Praha 4','http://www.nacr.cz/','http://www.nacr.cz/knihovna/vitejte-v-knihovne/'
'narodni_informacni_a_poradenske_stredisko_pro_kulturu','Národní informační a poradenské středisko pro kulturu (NIPOS)','Fügnerovo náměstí 1866/5, 120 21 Praha 2','http://www.nipos-mk.cz/',
'narodni_lekarska_knihovna','Národní lékařská knihovna','Sokolská 54, 121 32 Praha 2','http://www.nlk.cz/',
'narodni_muzeum','Národní muzeum','Václavské nám. 68, 115 79 Praha 1','http://www.nm.cz/',
'narodni_pamatkovy_ustav','Národní památkový ústav','Valdštejnské náměstí 3, čp. 162, 118 01 Praha 1','http://www.npu.cz/',
'narodni_technicka_knihovna','Národní technická knihovna','Technická 6, 160 80 Praha 6 - Dejvice','http://techlib.cz/',
'narodni_technicke_muzeum','Národní technické muzeum','Kostelní 1320/42, 170 00 Praha-Holešovice','http://www.ntm.cz/','http://www.ntm.cz/archiv-knihovna'
'narodni_zemedelske_muzeum','Národní zemědělské muzeum','Kostelní 44, 170 00 Praha 7','http://nzm.cz/',
'nulk','Národní ústav lidové kultury','Zámek 672, 696 62 Strážnice','http://www.nulk.cz/',
'nuv','Národní ústav pro vzdělávání','Weilova 1271/6, 102 00 Praha 10','http://www.nuv.cz',
'narodohospodarsky_ustav','Národohospodářský ústav','Politických vězňů 7, 111 21 Praha 1','http://www.ei.cas.cz',
'oseva','OSEVA vývoj a výzkum s.r.o.','Hamerská 698, 756 54 Zubří','http://www.oseva-vav.cz',
'orientalni_ustav','Orientální ústav','Pod vodárenskou věží 4 ,  182 08 Praha 8','http://www.orient.cas.cz/','http://www.orient.cas.cz/knihovna/'
'ostravska_univerzita','Ostravská univerzita','Dvořákova 7, 701 03  Ostrava','http://www.osu.cz/',
'pamatnik_narodniho_pisemnictvi','Památník národního písemnictví','Strahovské nádvoří 1/132, 118 38 Praha 1','http://www.pamatniknarodnihopisemnictvi.cz/','http://www.pamatniknarodnihopisemnictvi.cz/o-knihovne/'
'parazitologicky_ustav','Parazitologický ústav','Branišovská 1160/31, České Budějovice','http://www.paru.cas.cz/cs/',
'parlamentni_institut','Parlamentní institut','Sněmovní 3, 118 26 Praha 1','http://www.psp.cz/sqw/hp.sqw?k=40',
'prague_college','Prague College','Polská 10, Vinohrady Praha 2','http://www.praguecollege.cz/',
'psychologicky_ustav','Psychologický ústav','Veveří 97 ,  602 00 Brno','http://www.psu.cas.cz/','http://www.psu.cas.cz/library/'
'siriri','SIRIRI o.p.s.','Vyšehradská 49/320, 128 00 Praha 2','https://siriri.org/',
'sdruzeni_pro_integraci_a_migraci','Sdružení pro integraci a migraci','Baranova 33, 130 00 Praha 3','http://www.migrace.com/',
'severoceske_muzeum_v_liberci','Severočeské muzeum v Liberci','Masarykova 11, 460 01 Liberec 1','http://www.muzeumlb.cz/','http://www.muzeumlb.cz/?page=knihovna'
'slezske_zemske_muzeum','Slezské zemské muzeum','Nádražní okruh 31, Opava','http://www.szm.cz/','http://www.szm.cz/rubrika/98/ustredni-knihovna.html'
'slovansky_ustav','Slovanský ústav AV ČR, v. v. i.','Valentinská 1, 110 00 Praha 1','http://www.slu.cas.cz/','http://www.slu.cas.cz/2.html#k'
'centrum_pro_vyzkum_verejneho_mineni','Sociologický ústav (CVVM)','Jilská 1, 110 00 Praha 1','http://cvvm.soc.cas.cz/',
'sociologicky_ustav','Sociologický ústav','Jilská 1, 110 00 Praha 1','http://www.soc.cas.cz/','http://www.soc.cas.cz/knihovna/sluzby-kontakty'
'surao','Správa úložišť radioaktivních odpadů','Dlážděná 6, 110 00 Praha 1','http://www.surao.cz/',
'szpi','Státní zemědělská a potravinářská inspekce','Květná 15, 603 00 Brno','http://www.szpi.gov.cz',
'statni_urad_pro_jadernou_bezpecnost','Státní úřad pro jadernou bezpečnost','Senovážné náměstí 9, 110 00 Praha 1','http://www.sujb.cz/',
'technologicke_centrum','Technologické centrum','Ve Struhách 27, 160 00 Praha 6 – Bubeneč','http://www.tc.cz/',
'umeleckoprumyslove_museum','Uměleckoprůmyslové museum','Ulice 17. listopadu 2, 110 00 Praha 1','http://www.upm.cz/','http://www.knihovna.upm.cz/'
'univerzita_karlova_v_praze','Univerzita Karlova','Ovocný trh 5, 116 36 Praha 1','http://cuni.cz/','https://dspace.cuni.cz/'
'upce','Univerzita Pardubice','Studentská 519, 532 10 Pardubice','http://www.upce.cz/','http://www.upce.cz/knihovna/index.html'
'vscht','Vysoká škola chemicko-technologická v Praze','Technická 5, 166 28 Praha 6','http://www.vscht.cz/',
'vysoka_skola_ekonomicka_v_praze','Vysoká škola ekonomická v Praze','nám. W. Churchilla 4, 130 67 Praha 3','http://www.vse.cz','http://ciks.vse.cz/knihovna/'
'vysoka_skola_evropskych_a_regionalnich_studii','Vysoká škola evropských a regionálních studií, o.p.s.','Žižkova 6, 370 01 České Budějovice ','http://vsers.cz/','https://vsers.cz/knihovna-prodej-publikaci/'
'vysoka_skola_financni_a_spravni','Vysoká škola finanční a správní','Estonská 500, 101 00 Praha 10','http://www.vsfs.cz/','http://www.vsfs.cz/?id=1875-knihovna'
