code,isPartOf,isPartOf2,institution,address,url,library-url
gender_studies,ngo,other,"Gender Studies, o.p.s.","Masarykovo nábřeží 8, 120 00 Praha 2","http://www.genderstudies.cz/",""
geofyzikalni_ustav,avcr,research,"Geofyzikální ústav","Boční II/1401,  141 31 Praha 4","http://www.ig.cas.cz/","http://www.ig.cas.cz/struktura/knihovna"
geologicky_ustav,avcr,research,"Geologický ústav","Rozvojová 269, 165 00 Praha 6","http://www.gli.cas.cz","http://www.gli.cas.cz/cs/skupina/knihovna"
gle,ngo,other,"GLE, o.p.s.","Tyršova 1832/7, 120 00 Praha 2","http://gle.cz/",""
hestia,ngo,other,"HESTIA","Na Poříčí 1041/12, 110 00 Praha 1","http://www.hest.cz/",""
historicky_ustav,avcr,research,"Historický ústav","Prosecká 76, 190 00 Praha 9","http://www.hiu.cas.cz/","http://www.hiu.cas.cz/cs/knihovny/knihovna-praha.ep/"
hydrobiologicky_ustav,avcr,research,"Hydrobiologický ústav","Na Sádkách 7, 370 05 České Budějovice","http://www.hbu.cas.cz",""
chmelarsky_institut,vi,research,"Chmelařský institut","Kadaňská 2525, 438 01 Žatec","http://www.chizatec.cz/",""
institut_umeni,null,culture,"Institut umění – Divadelní ústav","Celetná 17, 110 00 Praha 1","http://www.idu.cz/",""
iuridicum_remedium,ngo,other,"Iuridicum Remedium, o.s.","Pplk. Sochora 40, 170 00 Praha 7","http://www.iure.org/",""
jihoceska_univerzita_v_ceskych_budejovicich,public_uni,edu,"Jihočeská univerzita v Českých Budějovicích","Husova 458, 370 05 České Budějovice","http://www.jcu.cz","http://www.jcu.cz/vskp/"
jihomoravske_muzeum_ve_znojme,museums,culture,"Jihomoravské muzeum ve Znojmě","Přemyslovců 129/8, 669 02 Znojmo","http://www.znojmuz.cz/","https://www.muzeumznojmo.cz/O-muzeu/Knihovna"
katedra_socialni_geografie_prf,public_uni,edu,"Katedra sociální geografie a regionálního rozvoje PřF UK","Albertov 6, 128 43 Praha 2","https://www.natur.cuni.cz/geografie/socialni-geografie-a-regionalni-rozvoj",""
knihovna_av_cr,libraries;avcr,culture;research,"Knihovna AV ČR","Národní 3, 115 22 Praha 1","http://www.lib.cas.cz/",""
masarykova_univerzita,public_uni,edu,"Masarykova univerzita","Žerotínovo nám. 617/9, 601 77 Brno","https://www.muni.cz/",""
masarykuv_ustav_a_archiv,avcr,research,"Masarykův ústav + Archiv","Na Florenci 3, Praha 1","http://www.mua.cas.cz","http://www.mua.cas.cz/cs/knihovna-106"
matematicky_ustav,avcr,research,"Matematický ústav","Žitná 25, 115 67 Praha 1","http://www.math.cas.cz","http://library.math.cas.cz/lib-cz.html"
mendelova_univerzita_v_brne,public_uni,edu,"Mendelova univerzita v Brně","Zemědělská 1/1665, 613 00 Brno","http://mendelu.cz/","http://is.mendelu.cz/zp/"
mikrobiologicky_ustav,avcr,research,"Mikrobiologický ústav","Vídeňská 1083, 142 20 Praha 4","http://www.biomed.cas.cz/mbu/cz/",""
ministerstvo_obrany,ministries,gov,"Ministerstvo obrany","Tychonova 1, 160 01 Praha 6 - Dejvice","https://www.army.cz/",""
ministerstvo_spravedlnosti,ministries,gov,"Ministerstvo spravedlnosti","Vyšehradská 16, 128 10 Praha 2","https://portal.justice.cz",""
ministerstvo_zivotniho_prostredi,ministries,gov,"Ministerstvo životního prostředí","Vršovická 1442/65, 100 10 Praha 10","https://www.mzp.cz/",""
moravska_galerie,galleries,culture,"Moravská galerie v Brně","Husova 18, 662 26 Brno","http://www.moravska-galerie.cz/",""
moravska_zemska_knihovna,libraries,culture,"Moravská zemská knihovna","Kounicova 65a, 601 87 Brno ","http://www.mzk.cz/",""
muzeum_brnenska,museums,culture,"Muzeum Brněnska","Klášter 1, 664 61 Rajhrad","https://www.muzeumbrnenska.cz","http://muzeum.muzeumbrnenska.cz/36-knihovna-muzea-brnenska.aspx"
muzeum_vychodnich_cech,museums,culture,"Muzeum východních Čech v Hradci Králové","Eliščino nábřeží 465, 500 01 Hradec Králové 1","http://www.muzeumhk.cz",""
nacr,null,gov,"Národní archiv","Archivní 2257/4, 149 00 Praha 4","http://www.nacr.cz/","http://www.nacr.cz/knihovna/vitejte-v-knihovne/"
nadace_promeny,ngo,other,"Nadace Proměny","Vinohradská 1511/230, 100 00 Praha 10","http://www.nadace-promeny.cz/",""
